409A Huatulco          Mexico               2015 15 40N 096 29W 0000 3 00000R MM
409A Huat  201505162 1118 1136 1262 1472 1737 1994 2181 2244 2182 1990 1738 1495
409A Huat  201505171 1295 1176 1166 1260 1435 1655 1851 1952 1930 1803 1608 1385
409A Huat  201505172 1197 1103 1120 1268 1520 1812 2078 2263 2323 2254 2051 1775
409A Huat  201505181 1491 1273 1150 1154 1279 1484 1714 1905 2004 1983 1845 1633
409A Huat  201505182 1405 1220 1130 1153 1309 1569 1877 2165 2361 2425 2334 2114
409A Huat  201505191 1817 1515 1274 1145 1161 1310 1537 1791 1999 2099 2064 1907
409A Huat  201505192 1666 1413 1221 1140 1191 1368 1636 1943 2230 2412 2468 2366
409A Huat  201505201 2128 1811 1494 1258 1158 1204 1361 1588 1848 2050 2132 2064
409A Huat  201505202 1880 1649 1419 1240 1167 1225 1406 1688 2005 2275 2425 2433
409A Huat  201505211 2293 2035 1720 1419 1209 1126 1190 1372 1619 1858 2033 2090
409A Huat  201505212 2029 1870 1641 1406 1231 1178 1263 1462 1730 2016 2254 2394
409A Huat  201505221 2388 2224 1947 1630 1345 1164 1120 1220 1427 1693 1940 2101
409A Huat  201505222 2141 2048 1862 1623 1396 1250 1226 1324 1523 1799 2070 2278
409A Huat  201505231 2365 2315 2129 1862 1572 1337 1208 1200 1315 1522 1774 1990
409A Huat  201505232 2119 2132 2028 1828 1591 1392 1276 1272 1382 1582 1838 2089
409A Huat  201505241 2259 2308 2220 2022 1753 1481 1274 1177 1199 1339 1545 1777
409A Huat  201505242 1973 2082 2082 1980 1793 1575 1396 1307 1324 1437 1632 1860
409A Huat  201505251 2049 2168 2180 2070 1872 1628 1402 1251 1208 1268 1421 1617
409A Huat  201505252 1825 1985 2070 2045 1927 1750 1557 1398 1331 1363 1486 1663
409A Huat  201505261 1850 2004 2075 2053 1938 1749 1543 1357 1246 1225 1297 1441
409A Huat  201505262 1631 1828 1957 2005 1958 1840 1675 1509 1382 1332 1369 1484
409A Huat  201505271 1637 1782 1904 1955 1917 1805 1641 1467 1318 1240 1240 1349
409A Huat  201505272 1518 1707 1866 1967 1983 1930 1823 1666 1508 1391 1347 1400
